Region,Ocean,Latitude (N),Longitude €,Location,Depth (m),Depth range,SCOC (mmol O2 m-2 d-1),ex situ/ in situ,Measurement/ sampling device,TOU/ DOU/ AOU,median sediment grain size (?m),sediment type,photosynthetic sediment,dark/ light incubation/ measurements,Reference
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),6.8412,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),25.99632,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),91.7952,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),106.09944,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),3.9804,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),36.5688,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),55.10208,in situ,benthic incubation chamber,TOU,NA,clayey silt,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),57.714,in situ,benthic incubation chamber,TOU,NA,clayey silt,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),13.93104,in situ,benthic incubation chamber,TOU,NA,sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),14.67744,in situ,benthic incubation chamber,TOU,NA,sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),22.2648,in situ,benthic incubation chamber,TOU,NA,sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),55.72392,in situ,benthic incubation chamber,TOU,NA,sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Nedungad, India",Indian Ocean,10.0644,76.2312,approximated location,NA,near-shore (0-50m),38.43456,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Nedungad, India",Indian Ocean,10.0644,76.2312,approximated location,NA,near-shore (0-50m),51.86808,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Nedungad, India",Indian Ocean,10.0644,76.2312,approximated location,NA,near-shore (0-50m),54.97776,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Nedungad, India",Indian Ocean,10.0644,76.2312,approximated location,NA,near-shore (0-50m),55.72392,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Varapuzha, India",Indian Ocean,10.0739,76.2824,approximated location,NA,near-shore (0-50m),8.20944,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Varapuzha, India",Indian Ocean,10.0739,76.2824,approximated location,NA,near-shore (0-50m),40.176,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Varapuzha, India",Indian Ocean,10.0739,76.2824,approximated location,NA,near-shore (0-50m),51.6192,in situ,benthic incubation chamber,TOU,NA,clayey silt,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Varapuzha, India",Indian Ocean,10.0739,76.2824,approximated location,NA,near-shore (0-50m),107.93688,in situ,benthic incubation chamber,TOU,NA,clayey silt,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Maliankara, India",Indian Ocean,10.1762,76.1785,approximated location,NA,near-shore (0-50m),15.7968,in situ,benthic incubation chamber,TOU,NA,sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Maliankara, India",Indian Ocean,10.1762,76.1785,approximated location,NA,near-shore (0-50m),25.99632,in situ,benthic incubation chamber,TOU,NA,sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Maliankara, India",Indian Ocean,10.1762,76.1785,approximated location,NA,near-shore (0-50m),43.90752,in situ,benthic incubation chamber,TOU,NA,sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Maliankara, India",Indian Ocean,10.1762,76.1785,approximated location,NA,near-shore (0-50m),61.19688,in situ,benthic incubation chamber,TOU,NA,sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4333,3.7,exact location,785,continental slope (>200-2000m),0.37,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4333,3.7,exact location,785,continental slope (>200-2000m),0.37,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4333,3.7,exact location,785,continental slope (>200-2000m),1.98,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4333,3.7,exact location,785,continental slope (>200-2000m),2.22,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4667,3.5,exact location,912,continental slope (>200-2000m),1.48,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4667,3.5,exact location,912,continental slope (>200-2000m),1.98,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4667,3.5,exact location,912,continental slope (>200-2000m),4.07,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4667,3.5,exact location,912,continental slope (>200-2000m),6.05,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Bay of Banyuls,Mediterranean Sea,42.4833,3.15,exact location,35,near-shore (0-50m),24.81,in situ,lander with benthic chambers,TOU,NA,mud/ clay,no,dark,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Bay of Banyuls,Mediterranean Sea,42.4833,3.15,exact location,35,near-shore (0-50m),29.75,in situ,lander with benthic chambers,TOU,NA,mud/ clay,no,dark,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Bay of Banyuls,Mediterranean Sea,42.4833,3.15,exact location,35,near-shore (0-50m),44.44,in situ,lander with benthic chambers,TOU,NA,mud/ clay,no,dark,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Bay of Banyuls,Mediterranean Sea,42.4833,3.15,exact location,35,near-shore (0-50m),48.02,in situ,lander with benthic chambers,TOU,NA,mud/ clay,no,dark,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4833,3.5,exact location,330,continental slope (>200-2000m),0.62,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4833,3.5,exact location,330,continental slope (>200-2000m),1.98,in situ,lander with benthic chambers,TOU,NA,mud/ clay,not investigated,not investigated,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Gulf of Lions,Mediterranean Sea,42.5,3.2167,exact location,87,continental shelf (>50-200m),10,in situ,lander with benthic chambers,TOU,NA,mud/ clay,no,dark,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
Gulf of Lions,Mediterranean Sea,42.5,3.2167,exact location,87,continental shelf (>50-200m),12.1,in situ,lander with benthic chambers,TOU,NA,mud/ clay,no,dark,"Accornero, A. et al. Organic carbon budget at the sediment–water interface on the Gulf of Lions continental margin. Cont. Shelf Res. 23, 79–92 (2003)"
German Bight,Atlantic Ocean,53.985,6.51,approximated location,25,near-shore (0-50m),16,ex situ,flow through reactor,AOU,207,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,53.9865,7.8678,approximated location,29,near-shore (0-50m),29,ex situ,flow through reactor,AOU,210,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,53.9872,6.8705,approximated location,24,near-shore (0-50m),16,ex situ,flow through reactor,AOU,215,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,53.9872,6.8705,approximated location,25,near-shore (0-50m),13,ex situ,flow through reactor,AOU,245,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,54.1685,7.9552,approximated location,19,near-shore (0-50m),10,ex situ,flow through reactor,AOU,473,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,54.1732,7.9587,approximated location,20,near-shore (0-50m),34,ex situ,flow through reactor,AOU,537,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,54.1732,7.9587,approximated location,22,near-shore (0-50m),20,ex situ,flow through reactor,AOU,398,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,54.4375,7.4095,approximated location,25,near-shore (0-50m),8,ex situ,flow through reactor,AOU,244,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,54.825,5.5783,approximated location,28,near-shore (0-50m),14,ex situ,flow through reactor,AOU,390,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,55.4373,7.4225,approximated location,24,near-shore (0-50m),13,ex situ,flow through reactor,AOU,249,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
German Bight,Atlantic Ocean,55.5008,4.1685,approximated location,27,near-shore (0-50m),16,ex situ,flow through reactor,AOU,223,sand,NA,dark,"Ahmerkamp, S. et al. Regulation of benthic oxygen fluxes in permeable sediments of the coastal ocean. Limnol. Oceanogr. 62, 1935–1954 (2017)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.5833,22.4667,exact location,70,continental shelf (>50-200m),17.7,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.5833,22.4667,exact location,75,continental shelf (>50-200m),13,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.95,24.9833,exact location,49,near-shore (0-50m),6.3,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.95,24.9833,exact location,49,near-shore (0-50m),11.5,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.95,24.9833,exact location,53,continental shelf (>50-200m),7.3,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.95,24.9833,exact location,54,continental shelf (>50-200m),16,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.95,24.9833,exact location,54,continental shelf (>50-200m),16.8,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,59.95,24.9833,exact location,56,continental shelf (>50-200m),9.9,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,60.2667,27.2333,exact location,36,near-shore (0-50m),12,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
"Gulf of Finland, Baltic Sea",Atlantic Ocean,60.2667,27.2333,exact location,38,near-shore (0-50m),11.4,in situ,lander with benthic chambers,TOU,NA,NA,no,dark,"Almroth, E., Tengberg, A., Andersson, J. H., Pakhomova, S. & Hall, P. O. J. Effects of resuspension on benthic fluxes of oxygen, nutrients, dissolved inorganic carbon, iron and manganese in the Gulf of Finland, Baltic Sea. Cont. Shelf Res. 29, 807–818 (2009)."
Gulf of Papua,Pacific Ocean,-9.96,143.81,exact location,14,near-shore (0-50m),47.5,ex situ ,core incubation,TOU,20,clay/ silt,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-9.21,143.76,exact location,40,near-shore (0-50m),23.33,ex situ ,core incubation,TOU,90,sand,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-9.11,143.51,exact location,13,near-shore (0-50m),18,ex situ ,core incubation,TOU,20,clay/ silt,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-9.06,143.69,exact location,14,near-shore (0-50m),23.5,ex situ ,core incubation,TOU,20,clay/ silt,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.98,144.15,exact location,50,near-shore (0-50m),21,ex situ ,core incubation,TOU,100,sand,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.89,143.56,exact location,7,near-shore (0-50m),6.67,ex situ ,core incubation,TOU,80,sand,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.77,143.98,exact location,20,near-shore (0-50m),39,ex situ ,core incubation,TOU,20,clay/ silt,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.48,143.35,exact location,7,near-shore (0-50m),7.08,ex situ ,core incubation,TOU,20,sand/ clay/ silt,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.48,144.32,exact location,58,continental shelf (>50-200m),65,ex situ ,core incubation,TOU,10,clay,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.44,143.07,exact location,11,near-shore (0-50m),11.67,ex situ ,core incubation,TOU,30,sand/ silt,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.35,143.01,exact location,6,near-shore (0-50m),9.5,ex situ ,core incubation,TOU,120,sand,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.34,143.86,exact location,7,near-shore (0-50m),46,ex situ ,core incubation,TOU,10,clay/ silt,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.28,143.41,exact location,5,near-shore (0-50m),5.25,ex situ ,core incubation,TOU,120,sand,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Gulf of Papua,Pacific Ocean,-8.25,143.58,exact location,11,near-shore (0-50m),12.17,ex situ ,core incubation,TOU,30,sand/ clay,no,dark,"Alongi, D. M., Christoffersen, P., Tirendi, F. & Robertson, A. I. The influence of freshwater and material export on sedimentary facies and benthic processes within the Fly Delta and adjacent Gulf of Papua (Papua New Guinea). Cont. Shelf Res. 12, 287–326 (1992)"
Great Barrier Reef shelf,Pacific Ocean,-21.495,149.4433,exact location,5,near-shore (0-50m),26.9,in situ,benthic incubation chamber,TOU,78,sand/ silt/ clay,yes,dark,"Alongi, D. M., Trott, L. A. & Møhl, M. Strong tidal currents and labile organic matter stimulate benthic decomposition and carbonate fluxes on the southern Great Barrier Reef shelf. Cont. Shelf Res. 31, 1384–1395 (2011)."
